iter	Passed	Remaining
0	139	138873
1	140	70117
2	142	47206
3	143	35740
4	145	28863
5	146	24316
6	148	21040
7	150	18622
8	151	16727
9	153	15198
10	155	13955
11	156	12906
12	158	12014
13	160	11275
14	161	10628
15	163	10050
16	165	9542
17	166	9095
18	168	8681
19	169	8314
20	171	7983
21	173	7696
22	175	7434
23	176	7186
24	178	6947
25	179	6741
26	181	6546
27	183	6357
28	184	6185
29	186	6026
30	187	5873
31	189	5733
32	191	5599
33	192	5470
34	193	5348
35	195	5236
36	197	5138
37	198	5037
38	200	4939
39	201	4846
40	203	4758
41	204	4674
42	206	4597
43	208	4528
44	210	4458
45	211	4392
46	213	4328
47	215	4268
48	217	4212
49	218	4154
50	220	4101
51	221	4047
52	223	3994
53	225	3946
54	227	3900
55	228	3850
56	229	3804
57	231	3761
58	233	3719
59	234	3680
60	236	3640
61	237	3600
62	239	3560
63	241	3524
64	242	3490
65	244	3457
66	245	3424
67	247	3393
68	249	3360
69	250	3329
70	252	3298
71	253	3267
72	255	3240
73	256	3213
74	258	3185
75	259	3161
76	261	3135
77	263	3112
78	264	3088
79	266	3064
80	268	3041
81	269	3017
82	270	2993
83	272	2971
84	274	2950
85	275	2928
86	277	2907
87	278	2885
88	279	2865
89	281	2845
90	283	2827
91	284	2809
92	286	2794
93	288	2775
94	289	2757
95	290	2740
96	292	2721
97	293	2704
98	295	2687
99	296	2669
100	298	2654
101	299	2637
102	301	2621
103	302	2606
104	304	2591
105	305	2577
106	307	2563
107	308	2550
108	310	2535
109	312	2526
110	313	2513
111	316	2509
112	318	2503
113	320	2494
114	323	2487
115	325	2480
116	327	2472
117	329	2462
118	331	2451
119	332	2440
120	334	2430
121	336	2419
122	337	2407
123	339	2396
124	340	2386
125	342	2376
126	343	2364
127	345	2352
128	346	2341
129	348	2331
130	350	2322
131	351	2312
132	353	2305
133	355	2296
134	356	2287
135	358	2276
136	359	2265
137	361	2257
138	362	2248
139	364	2238
140	366	2229
141	367	2222
142	369	2212
143	370	2201
144	371	2192
145	373	2182
146	374	2173
147	376	2164
148	377	2157
149	379	2149
150	380	2140
151	381	2131
152	383	2122
153	384	2113
154	386	2105
155	387	2098
156	389	2090
157	390	2083
158	392	2076
159	394	2069
160	395	2063
161	397	2056
162	399	2050
163	400	2042
164	402	2035
165	403	2028
166	405	2022
167	407	2017
168	408	2010
169	410	2003
170	411	1996
171	413	1989
172	414	1982
173	416	1975
174	417	1968
175	419	1963
176	420	1956
177	422	1949
178	423	1942
179	424	1935
180	426	1929
181	427	1922
182	429	1916
183	430	1909
184	432	1903
185	433	1897
186	435	1892
187	436	1885
188	437	1879
189	439	1874
190	440	1867
191	442	1862
192	444	1858
193	446	1853
194	448	1850
195	449	1844
196	451	1839
197	452	1834
198	454	1829
199	456	1824
200	457	1819
201	459	1813
202	460	1808
203	462	1802
204	463	1796
205	464	1791
206	466	1786
207	467	1781
208	469	1776
209	470	1771
210	472	1766
211	473	1760
212	475	1756
213	476	1751
214	478	1747
215	480	1742
216	481	1737
217	483	1732
218	484	1728
219	486	1724
220	487	1720
221	489	1715
222	491	1711
223	492	1706
224	494	1704
225	496	1699
226	497	1694
227	499	1690
228	500	1686
229	502	1681
230	503	1677
231	505	1672
232	506	1667
233	507	1662
234	509	1659
235	511	1656
236	513	1652
237	515	1649
238	516	1645
239	518	1641
240	519	1636
241	521	1632
242	522	1628
243	524	1623
244	525	1619
245	527	1615
246	528	1611
247	530	1607
248	531	1603
249	532	1598
250	534	1594
251	536	1591
252	537	1587
253	539	1585
254	541	1581
255	543	1578
256	545	1575
257	546	1572
258	548	1568
259	549	1564
260	551	1561
261	552	1557
262	554	1553
263	555	1550
264	557	1546
265	559	1542
266	560	1538
267	562	1535
268	563	1532
269	565	1528
270	567	1525
271	568	1521
272	569	1517
273	571	1514
274	573	1510
275	574	1507
276	576	1504
277	578	1501
278	579	1497
279	581	1494
280	582	1490
281	584	1487
282	585	1484
283	587	1481
284	589	1478
285	590	1474
286	592	1471
287	593	1467
288	595	1464
289	596	1461
290	598	1457
291	600	1454
292	601	1452
293	603	1448
294	604	1445
295	606	1441
296	607	1438
297	609	1435
298	611	1432
299	612	1429
300	614	1426
301	615	1423
302	617	1420
303	618	1416
304	620	1413
305	621	1410
306	623	1406
307	624	1403
308	626	1400
309	627	1397
310	629	1393
311	630	1390
312	632	1387
313	633	1384
314	634	1380
315	636	1377
316	637	1373
317	639	1370
318	640	1367
319	642	1364
320	643	1361
321	645	1358
322	646	1355
323	648	1353
324	650	1350
325	651	1347
326	653	1344
327	654	1341
328	656	1338
329	657	1335
330	659	1332
331	660	1329
332	662	1326
333	663	1323
334	665	1320
335	666	1317
336	668	1314
337	669	1311
338	671	1308
339	672	1305
340	674	1302
341	675	1299
342	676	1296
343	678	1293
344	679	1290
345	681	1287
346	682	1284
347	684	1281
348	685	1279
349	687	1276
350	689	1274
351	690	1271
352	692	1268
353	693	1265
354	695	1263
355	696	1260
356	698	1257
357	699	1254
358	701	1251
359	702	1249
360	704	1246
361	705	1243
362	707	1240
363	708	1238
364	710	1235
365	711	1233
366	713	1230
367	714	1227
368	716	1224
369	717	1221
370	719	1219
371	721	1217
372	722	1214
373	724	1211
374	725	1209
375	727	1206
376	728	1203
377	730	1201
378	731	1198
379	732	1195
380	734	1192
381	735	1189
382	737	1187
383	739	1185
384	741	1183
385	742	1181
386	744	1178
387	745	1176
388	747	1173
389	748	1171
390	750	1168
391	752	1166
392	753	1163
393	754	1161
394	756	1158
395	758	1156
396	759	1153
397	760	1150
398	762	1148
399	763	1145
400	765	1143
401	766	1140
402	768	1138
403	769	1135
404	771	1132
405	772	1130
406	773	1127
407	775	1125
408	777	1123
409	778	1120
410	779	1117
411	781	1115
412	783	1113
413	784	1110
414	786	1108
415	788	1106
416	789	1104
417	791	1101
418	793	1099
419	794	1097
420	796	1094
421	797	1092
422	799	1090
423	800	1087
424	802	1085
425	803	1082
426	805	1080
427	806	1078
428	808	1075
429	809	1073
430	811	1071
431	813	1069
432	815	1067
433	816	1064
434	817	1062
435	819	1060
436	820	1057
437	822	1055
438	823	1052
439	825	1050
440	827	1048
441	828	1046
442	830	1043
443	831	1041
444	833	1039
445	835	1037
446	836	1035
447	838	1032
448	839	1030
449	841	1028
450	842	1025
451	844	1023
452	846	1021
453	847	1019
454	849	1017
455	850	1014
456	851	1011
457	853	1009
458	854	1007
459	856	1004
460	857	1002
461	859	1000
462	860	998
463	862	995
464	863	993
465	865	991
466	866	989
467	868	987
468	869	984
469	871	982
470	872	980
471	874	978
472	876	976
473	877	974
474	879	972
475	881	970
476	882	967
477	884	966
478	886	963
479	887	961
480	888	959
481	890	956
482	891	954
483	893	952
484	894	949
485	895	947
486	897	945
487	898	942
488	900	940
489	901	938
490	903	936
491	904	934
492	906	931
493	907	929
494	909	927
495	910	925
496	912	923
497	913	921
498	915	918
499	916	916
500	918	914
501	919	912
502	921	910
503	923	908
504	924	906
505	926	904
506	927	901
507	928	899
508	930	897
509	932	895
510	933	893
511	935	891
512	936	889
513	938	887
514	939	885
515	941	883
516	943	881
517	944	879
518	946	877
519	948	875
520	950	873
521	951	871
522	953	869
523	954	867
524	955	864
525	957	862
526	958	860
527	960	858
528	962	856
529	963	854
530	965	852
531	966	850
532	968	848
533	970	846
534	971	844
535	973	842
536	974	840
537	976	838
538	977	836
539	979	834
540	980	832
541	982	830
542	984	828
543	986	826
544	988	825
545	990	823
546	991	821
547	994	819
548	995	818
549	997	816
550	999	814
551	1000	812
552	1002	810
553	1004	808
554	1005	806
555	1007	804
556	1009	802
557	1011	800
558	1012	798
559	1014	796
560	1015	794
561	1017	792
562	1018	790
563	1020	788
564	1022	786
565	1023	784
566	1024	782
567	1026	780
568	1028	778
569	1029	776
570	1031	774
571	1032	772
572	1034	771
573	1036	769
574	1038	767
575	1039	765
576	1041	763
577	1042	761
578	1044	759
579	1046	757
580	1047	755
581	1049	753
582	1050	751
583	1052	749
584	1053	747
585	1055	745
586	1056	743
587	1058	741
588	1060	739
589	1061	737
590	1063	735
591	1064	733
592	1066	731
593	1067	729
594	1069	727
595	1071	726
596	1072	724
597	1074	722
598	1075	720
599	1077	718
600	1079	716
601	1080	714
602	1082	712
603	1084	710
604	1085	708
605	1087	706
606	1088	704
607	1090	703
608	1091	701
609	1093	698
610	1094	696
611	1096	695
612	1097	693
613	1099	691
614	1100	689
615	1102	687
616	1103	685
617	1105	683
618	1106	681
619	1108	679
620	1109	677
621	1111	675
622	1113	673
623	1114	671
624	1116	669
625	1117	667
626	1119	665
627	1120	663
628	1122	661
629	1123	659
630	1125	658
631	1126	656
632	1128	654
633	1130	652
634	1131	650
635	1133	648
636	1134	646
637	1136	644
638	1137	642
639	1138	640
640	1140	638
641	1141	636
642	1143	634
643	1144	632
644	1146	630
645	1147	628
646	1149	627
647	1150	625
648	1152	623
649	1154	621
650	1156	619
651	1157	617
652	1159	616
653	1160	614
654	1162	612
655	1163	610
656	1165	608
657	1166	606
658	1168	604
659	1169	602
660	1171	600
661	1173	599
662	1175	597
663	1176	595
664	1178	593
665	1180	591
666	1182	590
667	1183	588
668	1185	586
669	1186	584
670	1188	582
671	1190	580
672	1191	579
673	1193	577
674	1194	575
675	1195	573
676	1197	571
677	1198	569
678	1199	567
679	1201	565
680	1203	563
681	1204	561
682	1206	559
683	1207	557
684	1208	555
685	1210	554
686	1212	552
687	1213	550
688	1215	548
689	1216	546
690	1218	544
691	1220	543
692	1222	541
693	1223	539
694	1225	537
695	1226	535
696	1228	533
697	1229	532
698	1231	530
699	1232	528
700	1234	526
701	1235	524
702	1237	522
703	1238	520
704	1240	519
705	1241	517
706	1243	515
707	1244	513
708	1246	511
709	1247	509
710	1249	507
711	1251	506
712	1252	504
713	1254	502
714	1255	500
715	1257	498
716	1258	496
717	1260	495
718	1261	493
719	1263	491
720	1265	489
721	1266	487
722	1268	485
723	1269	484
724	1271	482
725	1273	480
726	1274	478
727	1276	476
728	1277	474
729	1279	473
730	1280	471
731	1281	469
732	1283	467
733	1285	465
734	1286	463
735	1288	462
736	1289	460
737	1291	458
738	1292	456
739	1294	454
740	1295	452
741	1297	451
742	1298	449
743	1300	447
744	1301	445
745	1303	443
746	1305	441
747	1306	440
748	1308	438
749	1309	436
750	1311	434
751	1312	433
752	1314	431
753	1316	429
754	1317	427
755	1319	425
756	1321	424
757	1322	422
758	1323	420
759	1325	418
760	1326	416
761	1328	414
762	1330	413
763	1331	411
764	1333	409
765	1334	407
766	1336	405
767	1337	404
768	1339	402
769	1340	400
770	1342	398
771	1343	396
772	1345	395
773	1346	393
774	1348	391
775	1350	389
776	1351	387
777	1352	386
778	1354	384
779	1356	382
780	1357	380
781	1359	378
782	1360	377
783	1362	375
784	1363	373
785	1364	371
786	1366	369
787	1368	368
788	1369	366
789	1371	364
790	1372	362
791	1374	360
792	1376	359
793	1377	357
794	1378	355
795	1380	353
796	1381	351
797	1383	350
798	1385	348
799	1386	346
800	1388	344
801	1389	343
802	1391	341
803	1392	339
804	1393	337
805	1395	335
806	1396	334
807	1398	332
808	1399	330
809	1401	328
810	1402	326
811	1403	325
812	1405	323
813	1407	321
814	1408	319
815	1410	317
816	1411	316
817	1413	314
818	1414	312
819	1416	310
820	1417	309
821	1419	307
822	1421	305
823	1422	303
824	1424	302
825	1426	300
826	1427	298
827	1429	296
828	1430	295
829	1432	293
830	1434	291
831	1435	289
832	1437	288
833	1438	286
834	1440	284
835	1441	282
836	1443	281
837	1444	279
838	1446	277
839	1447	275
840	1449	273
841	1450	272
842	1451	270
843	1453	268
844	1454	266
845	1456	265
846	1457	263
847	1459	261
848	1460	259
849	1462	258
850	1464	256
851	1465	254
852	1467	252
853	1469	251
854	1471	249
855	1473	247
856	1475	246
857	1476	244
858	1478	242
859	1479	240
860	1481	239
861	1482	237
862	1484	235
863	1486	233
864	1487	232
865	1489	230
866	1491	228
867	1492	226
868	1494	225
869	1495	223
870	1497	221
871	1499	220
872	1501	218
873	1502	216
874	1504	214
875	1506	213
876	1507	211
877	1509	209
878	1511	208
879	1512	206
880	1514	204
881	1516	202
882	1518	201
883	1519	199
884	1521	197
885	1523	195
886	1524	194
887	1526	192
888	1527	190
889	1529	189
890	1531	187
891	1532	185
892	1534	183
893	1536	182
894	1538	180
895	1539	178
896	1541	177
897	1542	175
898	1544	173
899	1546	171
900	1548	170
901	1549	168
902	1551	166
903	1553	164
904	1554	163
905	1556	161
906	1558	159
907	1559	158
908	1561	156
909	1563	154
910	1565	152
911	1566	151
912	1568	149
913	1569	147
914	1571	145
915	1573	144
916	1574	142
917	1576	140
918	1577	139
919	1579	137
920	1580	135
921	1582	133
922	1584	132
923	1585	130
924	1587	128
925	1588	126
926	1590	125
927	1591	123
928	1593	121
929	1594	120
930	1595	118
931	1597	116
932	1598	114
933	1600	113
934	1602	111
935	1603	109
936	1605	107
937	1607	106
938	1609	104
939	1610	102
940	1612	101
941	1613	99
942	1615	97
943	1617	95
944	1618	94
945	1620	92
946	1621	90
947	1622	89
948	1624	87
949	1625	85
950	1627	83
951	1628	82
952	1630	80
953	1631	78
954	1633	76
955	1634	75
956	1635	73
957	1637	71
958	1638	70
959	1640	68
960	1642	66
961	1643	64
962	1645	63
963	1646	61
964	1648	59
965	1649	58
966	1651	56
967	1653	54
968	1655	52
969	1656	51
970	1658	49
971	1660	47
972	1661	46
973	1663	44
974	1664	42
975	1666	40
976	1668	39
977	1669	37
978	1671	35
979	1672	34
980	1674	32
981	1675	30
982	1677	29
983	1678	27
984	1680	25
985	1681	23
986	1683	22
987	1684	20
988	1686	18
989	1687	17
990	1689	15
991	1690	13
992	1691	11
993	1693	10
994	1694	8
995	1696	6
996	1697	5
997	1699	3
998	1700	1
999	1701	0
